Daffy,Lane 
Blueberry, Lane
Zapper, Street
Marshmallow, Boulevard
Wobblewood, Crescent
Jellybean, Junction
Squishy, Avenue
Lollipop, Loop
Wiggly, Way
Puggle, Path
Rocky, Road
Kit, katwalk
Giggle, Grove
Bubble, Boardwalk
Ladybug, Drive
Spaghetti, Spiral
Pancake, Parkway
Fluffy Cloud, Crescent
Giggleberry, Gardens
Tinkerbell, Terrace
Poptart, Passage
Fizzledoodle, Lane
Pickle Plop, Road
Buttercup, Boulevard
Nutty Butter, Street
Waffle House, Way
Marshmallow Mountain, Ridge
Twinkle Toes, Trail
Giggly Puff, Avenue
Milky, Way
